,Order,Wavelength Start (micron),Region Size (micron),Both Fibers,Species
116,30,1.23518,4.427e-05,1,"Emission line wavelength(s) in region: [(1.2352, 'OH Line')] micron"
117,31,1.23256,6.318e-05,1,"Emission line wavelength(s) in region: [(1.2326, 'OH Line')] micron"
118,31,1.23511,9.79e-05,1,"Emission line wavelength(s) in region: [(1.23513, 'OH Line'), (1.23519, 'OH Line')] micron"
119,31,1.24005,8.776e-05,1,"Emission line wavelength(s) in region: [(1.24009, 'OH Line')] micron"
120,31,1.24227,4.308e-05,1,"Emission line wavelength(s) in region: [(1.2423, 'OH Line')] micron"
121,31,1.24235,4.298e-05,1,"Emission line wavelength(s) in region: [(1.24237, 'OH Line')] micron"
122,31,1.24625,7.038e-05,1,"Emission line wavelength(s) in region: [(1.24628, 'OH Line')] micron"
123,32,1.24227,4.466e-05,0,"Emission line wavelength(s) in region: [(1.24229, 'OH Line')] micron"
124,32,1.24234,5.453e-05,0,"Emission line wavelength(s) in region: [(1.24237, 'OH Line')] micron"
125,32,1.24823,7.161e-05,0,"Emission line wavelength(s) in region: [(1.24825, 'OH Line'), (1.24829, 'OH Line')] micron"
126,32,1.25017,3.85e-05,1,"Emission line wavelength(s) in region: [(1.25019, 'OH Line')] micron"
127,32,1.25027,4.693e-05,1,"Emission line wavelength(s) in region: [(1.25029, 'OH Line')] micron"
128,32,1.25263,4.392e-05,0,"Emission line wavelength(s) in region: [(1.25265, 'O2 Line')] micron"
129,32,1.25418,5.686e-05,0,"Emission line wavelength(s) in region: [(1.2542, 'O2 Line'), (1.25422, 'O2 Line')] micron"
130,33,1.25578,4.325e-05,0,"Emission line wavelength(s) in region: [(1.25581, 'O2 Line')] micron"
131,33,1.25741,6.069e-05,0,"Emission line wavelength(s) in region: [(1.25744, 'O2 Line')] micron"
132,33,1.25882,4.085e-05,0,"Emission line wavelength(s) in region: [(1.25884, 'OH Line')] micron"
133,33,1.25894,4.074e-05,0,"Emission line wavelength(s) in region: [(1.25897, 'OH Line')] micron"
134,33,1.25907,4.063e-05,0,"Emission line wavelength(s) in region: [(1.2591, 'O2 Line')] micron"
135,33,1.25979,7.549e-05,1,"Emission line wavelength(s) in region: [(1.25983, 'O2 Line')] micron"
136,33,1.26045,3.063e-05,0,"Emission line wavelength(s) in region: [(1.26047, 'O2 Line')] micron"
137,33,1.26078,5.64e-05,0,"Emission line wavelength(s) in region: [(1.26081, 'O2 Line')] micron"
138,33,1.26112,3.873e-05,0,"Emission line wavelength(s) in region: [(1.26114, 'O2 Line')] micron"
139,33,1.26145,3.84e-05,0,"Emission line wavelength(s) in region: [(1.26147, 'O2 Line')] micron"
140,33,1.2618,4.65e-05,0,"Emission line wavelength(s) in region: [(1.26182, 'O2 Line')] micron"
141,33,1.26214,4.608e-05,0,"Emission line wavelength(s) in region: [(1.26217, 'O2 Line')] micron"
142,33,1.26252,5.388e-05,0,"Emission line wavelength(s) in region: [(1.26254, 'O2 Line')] micron"
143,33,1.26326,5.272e-05,0,"Emission line wavelength(s) in region: [(1.26329, 'O2 Line')] micron"
144,33,1.26425,4.325e-05,0,"Emission line wavelength(s) in region: [(1.26428, 'O2 Line')] micron"
145,33,1.26604,6.272e-05,0,"Emission line wavelength(s) in region: [(1.26608, 'O2 Line')] micron"
146,33,1.26653,4.707e-05,0,"Emission line wavelength(s) in region: [(1.26655, 'O2 Line'), (1.26655, 'O2 Line')] micron"
147,34,1.26604,5.394e-05,0,"Emission line wavelength(s) in region: [(1.26607, 'O2 Line'), (1.26608, 'O2 Line')] micron"
148,34,1.26741,4.315e-05,1,"Emission line wavelength(s) in region: [(1.26744, 'O2 Line')] micron"
149,34,1.26847,6.114e-05,0,"Emission line wavelength(s) in region: [(1.2685, 'O2 Line')] micron"
150,34,1.26856,8.919e-05,0,"Emission line wavelength(s) in region: [(1.2686, 'O2 Line')] micron"
151,34,1.26887,3.268e-05,1,"Emission line wavelength(s) in region: [(1.26889, 'O2 Line')] micron"
152,34,1.26908,5.113e-05,0,"Emission line wavelength(s) in region: [(1.26911, 'O2 Line')] micron"
153,34,1.26926,8.798e-05,1,"Emission line wavelength(s) in region: [(1.26928, 'O2 Line'), (1.26932, 'O2 Line')] micron"
154,34,1.26969,5.051e-05,1,"Emission line wavelength(s) in region: [(1.26972, 'O2 Line')] micron"
155,34,1.26984,4.119e-05,1,"Emission line wavelength(s) in region: [(1.26987, 'O2 Line')] micron"
